"SlucajeviSvijet","SlucajeviHrvatska","UmrliSvijet","UmrliHrvatska","IzlijeceniSvijet","IzlijeceniHrvatska","Datum"
107442496,236333,2352172,5238,79380430,228499,"2021-02-10 10:27"
107019552,235756,2336667,5224,78889626,228203,"2021-02-09 11:39"
106712241,235473,2327942,5198,78401924,227868,"2021-02-08 10:55"
106358244,235402,2320798,5169,77999694,227485,"2021-02-07 10:37"
105981873,235126,2310748,5144,77620967,227078,"2021-02-06 11:04"
105436064,234702,2294862,5122,77131245,226625,"2021-02-05 10:41"
104926752,234153,2278900,5106,76672042,226073,"2021-02-04 11:16"
104447241,233637,2264087,5088,76335754,225623,"2021-02-03 11:00"
103938208,232907,2247936,5071,75763231,225300,"2021-02-02 10:35"
103538277,232520,2238022,5054,75140210,224915,"2021-02-01 10:56"
103169675,232426,2230297,5027,74819916,224476,"2021-01-31 10:51"
102650713,232090,2216748,4998,74346056,224017,"2021-01-30 10:51"
102057419,231539,2201325,4972,73903379,223450,"2021-01-29 10:49"
101458805,230978,2184712,4943,73351625,222862,"2021-01-28 10:50"
100856979,230359,2167510,4913,72892416,222396,"2021-01-27 11:05"
100318660,229502,2150615,4882,72368409,222110,"2021-01-26 12:42"
99782678,229054,2139214,4859,71776547,221676,"2021-01-25 11:02"
99338137,228920,2130626,4827,71396886,221097,"2021-01-24 12:02"
98764787,228568,2116714,4799,70964463,220537,"2021-01-23 10:54"
98112223,227969,2100959,4770,70520774,219878,"2021-01-22 10:55"
97325443,227326,2083754,4738,69882077,219082,"2021-01-21 10:37"
96643566,226550,2066003,4711,69323391,218358,"2021-01-20 11:02"
96027401,225648,2049769,4684,68692236,217880,"2021-01-19 10:57"
95518512,225128,2040457,4655,68230396,217197,"2021-01-18 11:01"
94968109,224954,2031282,4616,67786760,216280,"2021-01-17 11:20"
94333913,224575,2018292,4588,67361232,215276,"2021-01-16 11:00"
93545150,223812,2002642,4550,66845955,214609,"2021-01-15 11:09"
92802978,223097,1987460,4517,66329467,213370,"2021-01-14 10:53"
92035510,222117,1970602,4472,65882548,212345,"2021-01-13 10:45"
91339544,220982,1953419,4446,65349477,211633,"2021-01-12 10:40"
90702906,220223,1943432,4403,64825048,210844,"2021-01-11 11:05"
90101509,219993,1935211,4368,64492597,210126,"2021-01-10 12:12"
89381906,219347,1922502,4342,64041978,209207,"2021-01-09 11:38"
88528010,217946,1907073,4304,63623473,207848,"2021-01-08 10:46"
87672854,216848,1892074,4266,63157432,206310,"2021-01-07 10:40"
86868467,216286,1876803,4223,61594450,205078,"2021-01-06 11:24"
86118403,214390,1860834,4179,61076162,204303,"2021-01-05 11:01"
85520240,213319,1850941,4126,60486965,203294,"2021-01-04 10:53"
85019629,212958,1844403,4072,60139290,202442,"2021-01-03 10:57"
84394374,212262,1835737,4016,59681126,201300,"2021-01-02 12:28"
83892223,212007,1827387,3961,59402181,199820,"2021-01-01 11:45"
83193729,210837,1813386,3920,58932394,198018,"2020-12-31 12:08"
82335916,208446,1796916,3860,58341753,196285,"2020-12-30 16:26"
81695307,206596,1781973,3795,57830716,195128,"2020-12-29 11:00"
81154259,205246,1772222,3739,57305066,193471,"2020-12-28 10:57"
80731992,204930,1764913,3671,56924993,191226,"2020-12-27 10:59"
80222683,204312,1757995,3613,56490614,189055,"2020-12-26 11:03"
79771523,203962,1750067,3548,56160251,186533,"2020-12-25 12:43"
79086170,202319,1738168,3464,55674767,183532,"2020-12-24 11:22"
78380027,200086,1724394,3394,55148950,180735,"2020-12-23 11:10"
77740380,197323,1709474,3328,54619686,178880,"2020-12-22 11:40"
77184964,195728,1699878,3257,54101196,176366,"2020-12-21 11:06"
76687903,194962,1693209,3177,53804828,173158,"2020-12-20 11:36"
76037327,192987,1681629,3101,53304349,169768,"2020-12-19 11:07"
75299629,190235,1668691,3023,52869567,165915,"2020-12-18 11:11"
74537459,186963,1655307,2955,52374434,161563,"2020-12-17 10:58"
73821896,183045,1642044,2870,51833667,157773,"2020-12-16 11:06"
73211509,179718,1628442,2778,51347757,155079,"2020-12-15 11:11"
72655939,177358,1619077,2705,50874955,151884,"2020-12-14 11:07"
72126453,175886,1611948,2640,50506678,148211,"2020-12-13 11:05"
71462822,172523,1601628,2562,49662066,144691,"2020-12-12 11:04"
70745895,168388,1588911,2484,49172210,140898,"2020-12-11 11:00"
69262556,163992,1576186,2420,48019269,136721,"2020-12-10 11:33"
68587502,159372,1563487,2367,47482977,133255,"2020-12-09 11:27"
67961285,154852,1550701,2298,47050607,130869,"2020-12-08 12:00"
67405131,152239,1541951,2233,46594335,127882,"2020-12-07 11:27"
66882253,150353,1534974,2174,46257103,124439,"2020-12-06 10:56"
66252020,147454,1524768,2102,45831083,120857,"2020-12-05 11:12"
65558031,143370,1512223,2032,45394765,117148,"2020-12-04 11:12"
64866214,139415,1499690,1964,44962234,113509,"2020-12-03 11:22"
64214449,134881,1487112,1916,44462715,110355,"2020-12-02 11:03"
63608343,131342,1474219,1861,44001773,108231,"2020-12-01 11:21"
63087142,128442,1465368,1786,43557257,105199,"2020-11-30 12:07"
62592000,126612,1458485,1712,43203107,101838,"2020-11-29 10:49"
62037905,123693,1449895,1655,42831206,98465,"2020-11-28 11:02"
61331706,119706,1438096,1600,42411308,95698,"2020-11-27 11:05"
60744487,115626,1427188,1552,42050100,92349,"2020-11-26 10:56"
60126931,111617,1415239,1501,41570679,89425,"2020-11-25 11:10"
59533128,108014,1402312,1445,41173110,87408,"2020-11-24 11:52"
59002157,105691,1393879,1398,40776358,85018,"2020-11-23 10:56"
58512319,103718,1386778,1353,40477677,82380,"2020-11-22 11:21"
57915601,100410,1377826,1304,40114821,80027,"2020-11-21 10:55"
57261775,96837,1366019,1257,39749228,77387,"2020-11-20 11:10"
56583049,93879,1355147,1200,39370986,74865,"2020-11-19 11:00"
55961152,90715,1343709,1151,38976150,72673,"2020-11-18 12:09"
55366732,87464,1332565,1113,38507343,70980,"2020-11-17 10:32"
54832578,85519,1324689,1082,38147815,68738,"2020-11-16 10:51"
54344494,84206,1318452,1049,37878300,66231,"2020-11-15 11:22"
53766702,81844,1309703,1006,37535282,63748,"2020-11-14 10:50"
53109750,78978,1299651,968,37224907,61264,"2020-11-13 10:58"
52457990,75922,1290026,925,36687958,58649,"2020-11-12 10:37"
51835949,72840,1279963,893,36407888,56434,"2020-11-11 11:05"
51259771,70243,1269571,865,36066124,54854,"2020-11-10 11:06"
50743485,68776,1262192,832,35799384,53002,"2020-11-09 11:02"
50278660,67247,1256558,794,35556538,50775,"2020-11-08 10:37"
49685311,64704,1249030,752,35268937,48410,"2020-11-07 10:46"
49056664,62305,1239991,717,35001624,46021,"2020-11-06 10:09"
48454224,59415,1231281,683,34687623,43376,"2020-11-05 10:24"
47869340,56567,1220803,654,34369995,41070,"2020-11-04 11:35"
47339417,54087,1211628,628,34039293,39380,"2020-11-03 10:25"
46834497,52660,1205432,594,33762216,37332,"2020-11-02 10:30"
46425070,51495,1200810,562,33503608,35039,"2020-11-01 10:08"
45932232,49316,1194089,546,33259068,32818,"2020-10-31 10:21"
45382151,46547,1187029,531,33018697,30910,"2020-10-30 10:36"
44789859,43775,1179466,511,32741484,29233,"2020-10-29 10:14"
44283038,40999,1172075,493,32466672,27770,"2020-10-28 10:23"
43817194,38621,1165105,470,32200294,26840,"2020-10-27 11:49"
43355163,37208,1159200,452,31907861,25837,"2020-10-26 10:54"
